Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Pass_Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TD,Reciev_Rec,Reciev_Yds,Reciev_TD,Solo,Int,Sk,College/Univ
1,1,CAR,Bryce Young,QB,22,2024,0,0,1,14,14,30,549,911,5280,26,19,82,502,6,0,0,0,,,,Alabama
1,2,HOU,C.J. Stroud,QB,21,2024,0,1,2,24,24,32,655,1031,7835,43,17,91,400,3,1,0,0,,,,Ohio St.
1,3,HOU,Will Anderson,LB,22,2024,0,1,2,18,18,29,0,0,0,0,0,0,0,0,0,0,0,56,,18,Alabama
1,4,IND,Anthony Richardson,QB,21,2024,0,0,1,9,9,15,176,348,2391,11,13,111,635,10,1,-1,0,,,,Florida
1,5,SEA,Devon Witherspoon,DB,22,2024,0,2,2,16,16,31,0,0,0,0,0,0,0,0,0,0,0,122,1,4,Illinois
1,6,ARI,Paris Johnson,OL,22,2024,0,0,2,15,15,31,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.
1,7,LVR,Tyree Wilson,OLB,23,2024,0,0,0,5,5,33,0,0,0,0,0,0,0,0,0,0,0,32,,8,Texas Tech
1,8,ATL,Bijan Robinson,RB,21,2024,0,1,2,21,21,34,0,0,0,0,0,518,2432,18,119,918,5,,,,Texas
1,9,PHI,Jalen Carter,DL,22,2024,0,1,1,16,16,32,0,0,0,0,0,0,0,0,0,0,0,45,,10.5,Georgia
1,10,CHI,Darnell Wright,OL,22,2024,0,0,2,14,14,33,0,0,0,0,0,0,0,0,0,0,0,,,,Tennessee
1,11,TEN,Peter Skoronski,OL,22,2024,0,0,2,11,11,31,0,0,0,0,0,0,0,0,0,0,0,,,,Northwestern
1,12,DET,Jahmyr Gibbs,RB,21,2024,0,2,0,27,27,32,0,0,0,0,0,432,2357,26,104,833,5,,,,Alabama
1,13,GNB,Lukas Van Ness,DL,22,2024,0,0,0,3,3,34,0,0,0,0,0,0,0,0,0,0,0,46,,7,Iowa
1,14,PIT,Broderick Jones,OL,22,2024,0,0,2,13,13,34,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia
1,15,NYJ,Will McDonald,DE,24,2024,0,0,1,9,9,32,0,0,0,0,0,0,0,0,0,0,0,27,,13.5,Iowa St.
1,16,WAS,Emmanuel Forbes,CB,22,2024,0,0,0,3,3,22,0,0,0,0,0,0,0,0,0,0,0,41,2,,Mississippi St.
1,17,NWE,Christian Gonzalez,DB,21,2024,0,0,1,12,12,20,0,0,0,0,0,0,0,0,0,0,0,64,3,1,Oregon
1,18,DET,Jack Campbell,LB,23,2024,0,0,2,13,13,34,0,0,0,0,0,0,0,0,0,0,0,121,,3.5,Iowa
1,19,TAM,Calijah Kancey,DL,22,2024,0,0,1,12,12,26,0,0,0,0,0,0,0,0,0,0,0,41,,11.5,Pittsburgh
1,20,SEA,Jaxon Smith-Njigba,WR,21,2024,0,1,1,15,15,34,1,1,35,0,0,5,26,0,163,1758,10,,,,Ohio St.
1,21,LAC,Quentin Johnston,WR,22,2024,0,0,2,11,11,32,0,0,0,0,0,6,15,0,93,1142,10,,,,TCU
1,22,BAL,Zay Flowers,WR,22,2024,0,1,2,20,20,33,0,0,0,0,0,17,112,1,151,1917,9,,,,Boston Col.
1,23,MIN,Jordan Addison,WR,21,2024,0,0,2,15,15,32,0,0,0,0,0,4,22,1,133,1786,19,,,,USC
