Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Pass_Cmp,Pass_Att,Pass_Yds,Pass_TD,Pass_Int,Rush_Att,Rush_Yds,Rush_TD,Reciev_Rec,Reciev_Yds,Reciev_TD,Solo,Int,Sk,College/Univ
1,1,ARI,Kyler Murray,QB,22,2024,0,2,5,69,69,82,1864,2780,19498,115,57,503,3020,31,0,7,0,,,,Oklahoma
1,2,SFO,Nick Bosa,DE,21,2024,1,5,5,57,57,82,0,0,0,0,0,0,0,0,0,0,0,183,2,62.5,Ohio St.
1,3,NYJ,Quinnen Williams,DT,21,2024,1,3,6,51,51,90,0,0,0,0,0,0,0,0,0,0,0,182,1,39,Alabama
1,4,OAK,Clelin Ferrell,DE,22,2024,0,0,4,23,12,89,0,0,0,0,0,0,0,0,0,0,0,84,,17,Clemson
1,5,TAM,Devin White,LB,21,2024,0,1,5,46,45,83,0,0,0,0,0,0,0,0,0,0,0,379,3,23,LSU
1,6,NYG,Daniel Jones,QB,22,2024,0,0,5,42,42,70,1437,2241,14582,70,47,399,2179,15,1,16,0,,,,Duke
1,7,JAX,Josh Hines-Allen,LB,22,2024,0,2,5,38,38,90,0,0,0,0,0,0,0,0,0,0,0,188,2,53,Kentucky
1,8,DET,T.J. Hockenson,TE,22,2024,0,2,3,30,16,82,0,0,0,0,0,1,0,0,382,4002,23,2,,,Iowa
1,9,BUF,Ed Oliver,DT,21,2024,0,0,5,42,42,92,0,0,0,0,0,0,0,0,0,0,0,144,1,27,Houston
1,10,PIT,Devin Bush Jr.,LB,21,2024,0,0,3,28,23,81,0,0,0,0,0,0,0,0,0,0,0,236,2,5,Michigan
1,11,CIN,Jonah Williams,G,21,2024,0,0,4,33,31,65,0,0,0,0,0,0,0,0,0,0,0,,,,Alabama
1,12,GNB,Rashan Gary,LB,21,2024,0,1,4,31,31,90,0,0,0,0,0,0,0,0,0,0,0,129,,39,Michigan
1,13,MIA,Christian Wilkins,DT,23,2024,0,0,5,35,34,86,0,0,0,0,0,0,0,0,2,2,2,215,1,22.5,Clemson
1,14,ATL,Chris Lindstrom,G,22,2024,0,3,5,43,43,88,0,0,0,0,0,0,0,0,0,0,0,2,,,Boston Col.
